Title,Header,Table format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are ways to create hospital infrastructure to prevent nosocomial outbreaks and protect uninfected patients?,Non-pharmaceutical Interventions,1,,,,,Format 1: Population,,,,,,,,,,,,,,,,,,,,,,,,
"Methods to control the spread in communities, barriers to compliance and how these vary among different populations.",Non-pharmaceutical Interventions,1,,,,,Example: What are ways to create hospital infrastructure to prevent nosocomial outbreaks and protect uninfected patients?,,,,,,,,,,,,,,,,,,,,,,,,
Modes of communicating with target high-risk populations,Information sharing and inter-sectoral collaboration,1,,,,,Date,Study,Study Link,Journal,Study Type,Adressed Population,Challenge,Solution,Measure of Evidence,Added on,DOI,CORD_UID,,,,,,,,,,,,,
Management of patients who are underhoused or otherwise lower social economic status.,Social and Ethical Considerations,1,,,,,5/10/2020,COVID-19: Limiting the Risks for Eye Care Professionals.,https://www.tandfonline.com/doi/abs/10.1080/09273948.2020.1755442,Ocular Immunology and Inflammation,Expert Review,ophthalmic care facility,virus may be transmitted via tears. Exposed ocular surface can serve as a gateway in transmission and acquiring respiratory diseases,"Strategies and recommendations for ophthalmologists to reduce transmission: Minimizing Exposures, Standard and Transmission-Directed Precautions, Aerosol-Generating and Contact or Invasive Diagnostic Procedures, Non-Emergency Surgery, Infection Control at the Hospital. Association between conjunctivitis and SARS-CoV-2 is still unclear.",-,5/10/2020,,,,,,,,,,,,,,,
What are recommendations for combating/overcoming resource failures in pandemic response at hospital and departmental levels,Medical care,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectiveness of case isolation/isolation of exposed individuals to prevent secondary transmission,Non-pharmaceutical Interventions,2,,,,,Format 2: Relevant Factors,,,,,,,,,,,,,,,,,,,,,,,,
"Effectiveness of community contact reduction (i.e. limiting social gatherings, ""social distancing"")  to prevent secondary transmission in health care and community settings",Non-pharmaceutical Interventions,2,,,,,Example: Seasonality of transmission,,,,,,,,,,,,,,,,,,,,,,,,
Effectiveness of inter/inner travel restriction (i.e. lockdown) to prevent secondary transmission in health care and community settings,Non-pharmaceutical Interventions,2,,,,,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,DOI,CORD_UID,,,,,,,,,,,,,
Effectiveness of school distancing to prevent secondary transmission in health care and community settings,Non-pharmaceutical Interventions,2,,,,,5/10/2020,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,MedRxiv,Ecological Regression,Temperature,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18069,5/10/2020,,,,,,,,,,,,,,,
Effectiveness of workplace distancing to prevent secondary transmission,Non-pharmaceutical Interventions,2,,,,,5/10/2020,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,MedRxiv,Ecological Regression,Solar Radiation,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18070,5/10/2020,,,,,,,,,,,,,,,
Effectiveness of a multifactorial strategy to prevent secondary transmission,Non-pharmaceutical Interventions,2,,,,,5/10/2020,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,MedRxiv,Ecological Regression,Population Density,N,-,cases: 18071,,,,,,,,,,,,,,,,
What is the likelihood of significant changes in transmissibility in changing seasons?,Adaptation of Virus,2,,,,,5/10/2020,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,MedRxiv,Ecological Regression,Precipitation,N,-,cases: 18072,,,,,,,,,,,,,,,,
Seasonality of transmission,Seasonality,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How does temperature and humidity affect the transmission of 2019-nCoV?,Seasonality,2,,,,,Format 3: Patient Descriptions,,,,,,,,,,,,,,,,,,,,,,,,
Methods to understand and regulate the spread in communities,Social and Ethical Considerations,2,,,,,Example: Proportion of all positive COVID19 patients who were asymptomatic,,,,,,,,Characteristic Related to Question 1,Characteristic Related to Question 2,,,,,,,,,,,,,,,
Evidence that domesticated/farm animals can be infected and maintain transmissibility of the disease,Natural history of the virus,2,,,,,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample obtained,Aymptomatic,Characteristic Related to Question 2,Excerpt,Added on,DOI,CORD_UID,,,,,,,,,,,
Length of viral shedding after illness onset,Incubation period,3,,,,,5/10/2020,A considerable proportion of individuals with asymptomatic SARS-CoV-2 infection in Tibetan population,https://www.medrxiv.org/content/10.1101/2020.03.27.20043836v1,medRxiv,Case Series,83,mean: 31; range: 6-51,-,"18 (18/83, 21.7%) individuals were identified as asymptomatic carriers, with a predominant distribution of males (61.0%) (Table 1).",-,-,5/10/2020,,,,,,,,,,,,,
Incubation period across different age groups,Incubation period,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the incubation period of the virus?,Incubation period,3,,,,,Format 4: Models and Open Questions,,,,,,,,,,,,,,,,,,,,,,,,
How does viral load relate to disease presentations and likelihood of a positive diagnostic test?,Diagnostics,3,,,,,Example: What is know about adaptations (mutations) of the virus?,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of all positive COVID19 patients who were asymptomatic,Asymptomatic shedding,3,,,,,Date,Study,Study Link,Journal,Study Type,Method,Result,Measure of Evidence,Added on,DOI,CORD_UID,,,,,,,,,,,,,,
Proportion of pediatric COVID19 patients who were asymptomatic,Asymptomatic shedding,3,,,,,5/10/2020,SARS-CoV-2 exhibits intra-host genomic plasticity and low-frequency polymorphic quasispecies,https://doi.org/10.1101/2020.03.27.009480,bioRxiv,Case Study,Genomic Analysis,Single nucleotide variations (SNVs) exist in 70% of intra-host viral infections,patients: 3,5/10/2020,,,,,,,,,,,,,,,,
Can the virus be transmitted asymptomatically or during the incubation period?,Asymptomatic shedding,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestations of COVID-19 including but not limited to possible cardiomyopathy and cardiac arrest,Medical care,3,,,,,Format 5: Materials,,,,,,,,,,,,,,,,,,,,,,,,
What is known about adaptations (mutations) of the virus?,Adaptation of Virus,4,,,,,"Example: Persistence and stability on a multitude of substrates and sources (e.g., nasal discharge, sputum, urine, fecal matter, blood).",,,,,,,Property 1,Property 2,,,,,,,,,,,,,,,,
Tools and studies to monitor phenotypic change and potential adaptation of the virus,Adaptation of Virus,4,,,,,Publication date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on,DOI,CORD_UID,,,,,,,,,,,
Are there studies about phenotypic change?,Adaptation of Virus,4,,,,,5/10/2020,Molecular and serological investigation of 2019-nCoV infected patients: implication of multiple shedding routes,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7048229/,Emerging Microbes and Infections,Exploratory Study,Fecal matter,RT-PCR confirmed,5,-,-,patients: 16,5/10/2020,,,,,,,,,,,,,
How can we measure changes in COVID-19's behavior in a human host as the virus evolves over time?,Adaptation of Virus,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What regional genetic variations (mutations) exist?,Adaptation of Virus,4,,,,,Format 6: Diagnostics,,,,,,,,,,,,,,,,,,,,,,,,
"Efforts to develop qualitative assessment frameworks to systematically collect information related to local barriers and enablers for the uptake and adherence to public health measures for prevention and control. This includes the rapid identification of the secondary impacts of these measures. (e.g. use of surgical masks, modification of health seeking behaviors for SRH, school closures)",Social and Ethical Considerations,4,,,,,"Example: Development of a point-of-care test (like a rapid influenza test) and rapid bed-side tests, recognizing the tradeoffs between speed, accessibility, and accuracy.",,,,,,,,,,,,,,,,,,,,,,,,
What do models for transmission predict?,Natural history of the virus,4,,,,,Publication date,Study,Study Link,Journal,Study Type,Detection Method,Sample,Obtained Sample,Measure of Evidence (Sn & Sp),Speed of assay,FDA approval,Added on,DOI,CORD_UID,,,,,,,,,,,
Serial Interval (time between symptom onset in infector-infectee pair),Natural history of the virus,4,,,,,5/10/2020,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Review,RT-PCR,stues: 136,-,-,2-6 Hrs,Y,5/10/2020,,,,,,,,,,,,,
What do we know about viral shedding in stool?,Persistence of sources,5,,,,,5/10/2020,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Review,LAMP,stues: 137,-,-,-,Y,,,,,,,,,,,,,,
What do we know about viral shedding in the nasopharynx?,Persistence of sources,5,,,,,5/10/2020,Geospatial Hotspots Need Point-of-Care Strategies to Stop Highly Infectious Outbreaks: Ebola and Coronavirus.,https://www.ncbi.nlm.nih.gov/pubmed/32298139,Arch Pathol Lab Med,Review,Serological Immunoassay,stues: 138,-,-,-,Y,,,,,,,,,,,,,,
What do we know about viral shedding in urine?,Persistence of sources,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do we know about viral shedding in blood?,Persistence of sources,5,,,,,"Format 7: Therapeutics, interventions, and clinical trials",,,,,,,,,,,,,,,,,,,,,,,,
How long can the 2019-nCoV virus remain viable on common surfaces?,Persistence on surfaces,5,,,,,Example: What is the efficacy of novel therapeutics being tested currently?,,,,,,,,,,,,,,,,,,,,,,,,
"Persistence of virus on surfaces of different materials (e,g., copper, stainless steel, plastic)",Persistence on surfaces,5,,,,,Date,Study,Study Link,Journal,Study Type,Therapeutic method(s) utilized/assessed,Sample,Severity of Symptoms,General Outcome/Conclusion Excerpt,Primary Endpoint(s) of Study,Clinical Improvement (Y/N),Added on,DOI,CORD_UID,,,,,,,,,,,
Coronavirus adhesion to hydrophilic/phobic surfaces,Physical science,5,,,,,5/10/2020,Umifenovir treatment is not associated with improved outcomes in patients with coronavirus disease 2019: A retrospective study,https://doi.org/10.1016/j.cmi.2020.04.026,Clinical Microbiology and Infection,Retrospective Observational Study,Umifenovir,81,Varied,"33/45 (73.3%) patients in umifenovir group were tested negative in SARS-CoV-2 within 7 days after admission, the number was 28/36 (77.8%) in control group (p=0.19). The median time from onset of symtoms to SARS-CoV-2 turning negative were 18 days (interquartile range [IQR] 12-21) in umifenovir group and 16 days (IQR, 11-21) in control group (p= 0.42). Patients in umifenovir group had longer hospital stay than patients in control group (13 days [IQR, 9-17] vs 11 days [IQR, 9-14], p=0.04). No deaths or severe adverse reaction were found in both groups.",Negative rate of pharyngeal swab for SARS-CoV-2 within 1 week after admission and duration for virus turning negative,N,5/10/2020,,,,,,,,,,,,,
Susceptibility to environmental cleaning agents,Physical science,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informing decontamination based on physical science of the coronavirus,Physical science,5,,,,,Format 8: Risk factors,,,,,,,,,,,,,,,,,,,,,,,,
Development of a point-of-care test and rapid bed-side tests,Diagnostics,6,,,,,Example: Hypertension,,,,,,,,,,,,,,,,,,,,,,,,
What do we know about new advances being made in diagnosing SARS-COV-2?,Diagnostics,6,,,,,Date,Study,Study Link,Journal,Study Type,Severity of Disease,Severity lower bound,Severity upper bound,Severity p-value,Severe significance,Severe adjusted,Hand-calculated Severe,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality significance,Fatality adjusted,Hand-calculated Fatality,Multivariate adjustment,Sample size,Study population,Added on,DOI,CORD_UID
What is the best method to combat the hypercoagulable state seen in COVID-19?,Vaccine and Therapeutics,7,,,,,5/10/2020,Prognostic factors for COVID-19 pneumonia progression to severe symptom based on the earlier clinical features: a retrospective analysis,http://doi.org/10.1101/2020.03.28.20045989,medRxiv,Retrospective Observational Study,OR 8.41,2.96,23.89,-,Significant,Not Adjusted,Calculated,-,-,-,-,-,-,-,-,125,Only those with mild COVID-19 on admission w/length of stay >3 days and duration of infection > 7 days at Guangzhou Eighth People's Hospital from Jan 20-Feb 29.,5/10/2020,,
What is the efficacy of novel therapeutics being tested currently?,Vaccine and Therapeutics,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypertension,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diabetes,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male gender,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heart Disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COPD,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoking Status,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerebrovascular disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardio- and cerebrovascular disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancer,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respiratory system diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic kidney disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic respiratory diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drinking,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overweight or obese,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronic liver disease,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immune system disorders,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asthma,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dementia,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endocrine diseases,Risk factors,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,